,title,critic_score,audience_score
885,AlphaGo,100,99
886,Amal,100,90
887,Ambulance,100,
888,American Harmony,100,97
889,American Heretics: The Politics of the Gospel,100,
890,American Interior,100,95
891,American Jihad,100,55
892,American Radical: The Trials of Norman Finkelstein,100,87
893,American Relapse,100,84
894,American Son,100,51
895,Among Wolves,100,92
896,América,100,
897,An Accidental Studio: The Story of HandMade Films,100,
898,An African Election,100,82
899,"Ana, mon amour",100,80
900,'Twas the Fight Before Christmas,100,56
901,...And God Spoke,100,72
902,100 Days,100,73
903,100 Days to Live,100,85
904,100 Years of Men in Love: The Accidental Collection,100,50
905,11:55,100,80
906,12 Angry Men,100,97
907,16 Acres,100,73
908,17 Blocks,100,
909,2 in the Bush: A Love Story,100,
910,2040,100,47
911,27: El club de los malditos,100,0
912,"3 1/2 Minutes, Ten Bullets",100,86
913,3 Idiots,100,93
914,32 Pills: My Sister's Suicide,100,48
