,title,director,release_year,length,genre,imdb_score,rating,gross_US_CA,imdb_votes
11542,American Daylight,Roger Christian,(2004),98 min,"Crime, Drama, Romance",3.9,,,137
11543,Chrysanthemums,Rasoul Sadrameli,(1985),102 min,Drama,5.5,,,137
11544,Sous le signe du taureau,Gilles Grangier,(1969),77 min,Drama,5.6,,,137
11545,Star Nextdoor,Seong-wook Kim,(2017),98 min,Drama,6.1,,,137
11546,Distiller,Andy Schroeder,(2016),90 min,"Family, Horror, Thriller",3.8,Unrated,,137
11547,La muerte camina en la lluvia,Carlos Hugo Christensen,(1948),73 min,"Crime, Mystery, Thriller",7.2,,,137
11548,The Divine Ryans,Stephen Reynolds,(1999),93 min,"Comedy, Drama",5.9,,,137
11549,Maati,Saibal Banerjee,(2018),123 min,Drama,7.2,,,137
11550,Adistaktoi,Dinos Katsouridis,(1965),95 min,"Crime, Drama",6.4,,,137
11551,Flammes,Adolfo Arrieta,(1978),90 min,Comedy,6.4,,,137
11552,The Good Soldier Shweik,Manuk Depoyan,(2010),77 min,"Animation, Comedy, Family",6.5,,,137
11553,Farewell to Spring,Keisuke Kinoshita,(1959),102 min,Drama,6.4,,,137
11554,Fear,Vikram Bhatt,(I) (2007),,Horror,3.9,,,137
11555,Blind Turn,Robert Orr,(2012),80 min,"Drama, Mystery, Thriller",5.3,Not Rated,,137
11556,Timur i yego komanda,Aleksandr Razumnyj,(1940),81 min,Action,6.1,,,137
11557,"Jonah and Lila, Till Tomorrow",Alain Tanner,(1999),120 min,Drama,5.9,,,137
11558,Hotel Atlântico,Suzana Amaral,(2009),102 min,Drama,6.2,,,137
11559,Burdus,Miodrag Popovic,(1970),86 min,Comedy,6.7,,,137
11560,Gui jiao qi,Wu Ma,(1993),93 min,Action,5.9,Not Rated,,137
11561,Legend of the Fox,Cheh Chang,(1980),129 min,"Action, Drama",6.7,,,137
11562,The Black Monk,Ivan Dykhovichnyy,(1988),88 min,"Drama, Music, Mystery",6.9,,,137
11563,Black Horses,Ljubisa Samardzic,(2007),98 min,Drama,5.7,,,137
11564,Daddy's Gang,Guy Lefranc,(1956),90 min,Comedy,5.8,Unrated,,137
11565,Bloomin Mud Shuffle,Frank V. Ross,(2015),75 min,Comedy,6.2,,,137
11566,Dochki-materi,Sergey Gerasimov,(1975),101 min,Drama,6.8,,,137
11567,The Criminal Man,Dmitry Mamuliya,(2019),135 min,Thriller,5.5,,,137
11568,Little Baby Jesus,Lenka Kny,(2013),82 min,"Comedy, Romance",4.3,,,137
11569,Out,György Kristóf,(III) (2017),88 min,Drama,6.0,,,137
11570,Aaron's House,B. Luciano Barsuglia,(2012),88 min,Horror,4.1,Not Rated,,137
11571,Åsa-Nisse i raketform,Ragnar Frisk,(1966),76 min,Comedy,3.4,,,137
11572,"Love, Repeat",Shelagh Carter,(2020),77 min,"Comedy, Drama, Family",3.8,,,137
11573,Padre no hay más que dos,Mariano Ozores,(1982),,"Comedy, Family, Musical",3.8,,,137
11574,Double Trouble,Christy Cabanne,(1915),50 min,"Comedy, Romance",5.2,,,137
11575,Attack of the Moon Zombies,Christopher R. Mihm,(2011),99 min,"Horror, Sci-Fi",5.6,,,137
11576,Üç Tekerlekli Bisiklet,Lütfi Akad,(1962),90 min,Drama,7.0,,,137
11577,We're Only Human,James Flood,(1935),69 min,"Crime, Drama",5.9,Approved,,137
11578,Target,Stuart Gilmore,(1952),61 min,"Drama, Western",5.7,Passed,,137
11579,Meteorango Kid: Herói Intergalático,André Luiz Oliveira,(1969),85 min,Drama,6.3,,,137
11580,Gregorio,Fernando Espinoza,(1984),87 min,Drama,7.1,,,137
11581,Le magot de Josefa,Claude Autant-Lara,(1963),90 min,Comedy,5.1,,,137
11582,Belleville-Tokyo,Élise Girard,(2010),72 min,Drama,5.4,,,137
11583,El Daawa Aama,Wael Farag,(2022),,,5.1,,,137
11584,Ha-Pritza Hagdola,Menahem Golan,(1970),90 min,"Drama, War",4.4,PG,,137
11585,Vzlomshchik,Valeriy Ogorodnikov,(1987),90 min,Drama,5.9,,,137
11586,¿Y tú quién eres?,Antonio Mercero,(2007),90 min,"Comedy, Drama",5.7,,,137
11587,A Gentleman at Heart,Ray McCarey,(1942),70 min,"Comedy, Crime, Romance",6.6,Passed,,137
11588,Lahn el wafaa,Ibrahim Emarah,(1955),140 min,"Drama, Music, Musical",6.4,,,137
11589,Feeding Mr. Baldwin,Will Prescott,(2013),94 min,"Comedy, Crime, Thriller",5.5,Not Rated,,137
11590,Canli hedef,Yilmaz Güney,(1970),88 min,"Action, Crime, Drama",5.2,,,137
11591,Horseplay,Chi-Ngai Lee,(2014),96 min,"Comedy, Crime",4.5,,,137
11592,Man wa fung wan,Sing-Pui O,(2001),,Romance,5.8,,,137
11593,Dry Spell,Travis Legge,(2013),90 min,"Comedy, Romance",3.5,Not Rated,,137
11594,Strictly Unconventional,David Burton,(1930),55 min,Drama,5.1,Passed,,137
11595,Herz,Horst Johann Sczerba,(2001),100 min,Drama,6.1,,,137
11596,Derbeder,Temel Gürsu,(1978),82 min,"Drama, Romance",4.9,,,137
11597,I komissa tis fabrikas,Dimis Dadiras,(1969),88 min,"Comedy, Romance",6.4,,,137
11598,Hi-so,Aditya Assarat,(2010),102 min,Drama,6.5,,,137
11599,G4 te gong,Dante Lam,(1997),109 min,Action,5.4,,,137
11600,Cutting Room!,Krist Rufty,(2005),75 min,Horror,3.9,Not Rated,,137
11601,"Women Are from Venus, Men Are from Mars",Kazem Rast Goftar,(2011),97 min,Comedy,3.2,,,137
11602,Weltstadt,Christian Klandt,(2008),102 min,Drama,6.4,,,137
11603,Phantom of the Woods,Michael Storch,(2013),101 min,"Drama, Horror, Thriller",3.4,Not Rated,,137
11604,Smodimations 2-D,Steve Stark,(2011),58 min,"Animation, Comedy",6.4,Unrated,,137
11605,Strange Aeons: The Thing on the Doorstep,Eric Morgret,(2005),78 min,"Horror, Thriller",5.4,,,137
11606,Chicken Heart,Hiroshi Shimizu,(2002),105 min,,6.7,,,137
11607,Sehr El Oyoun,Fakhr El Din Bekhida,(2002),110 min,"Comedy, Romance",4.6,,,137
11608,Seishun kinzoku batto,Kazuyoshi Kumakiri,(2006),96 min,"Comedy, Crime",6.4,,,137
11609,The Sentimental Policeman,Yevgeni Golubenko,(1992),115 min,Comedy,6.9,,,137
11610,Balikçi Osman,Nejat Okçugil,(1973),76 min,Drama,6.4,,,137
11611,The Anna Cross,Isidor Annensky,(1954),82 min,"Drama, History",6.9,,,137
11612,Never Down,Robert Oppel,(2007),82 min,Drama,3.6,Not Rated,,137
11613,Lection,David Axe,(2019),101 min,Thriller,2.8,,,137
11614,Lady Paname,Henri Jeanson,(1950),113 min,"Comedy, Drama",6.8,,,137
11615,A Repartição do Tempo,Santiago Dellape,(2016),100 min,"Comedy, Sci-Fi",6.0,,,137
11616,The Soldier's Star,Christophe de Ponfilly,(2006),100 min,"Drama, History, War",6.9,,,137
11617,"Samad and Foolad Zereh, the ogre",Jalal Moghadam,(1972),117 min,Comedy,6.4,,,137
11618,Rainbow Jelly,Soukarya Ghosal,(2018),120 min,Drama,6.9,,,137
11619,Pappur Biye,Anthony Jane,(2021),136 min,Comedy,9.3,,,137
11620,Stavka na lyubov,Artyom Mikhalkov,(2016),95 min,Comedy,4.5,,,137
11621,Hemelrijken,Stanley Kolk,(2019),92 min,"Crime, Drama",6.3,,,137
11622,Tai Hang shan shang,Jian Chen,(2005),117 min,"History, War",5.4,,,137
11623,Madhuchandralekha,Rajasenan,(2006),,"Comedy, Drama, Musical",3.5,,,137
11624,After the Rain,Marília Hughes Guerreiro,(2013),95 min,"Drama, History, Music",6.5,,,137
11625,Identity of the Soul,Thomas Høegh,(2009),60 min,Drama,9.6,,,137
11626,Habiby Da'iman,Hussein Kamal,(1980),120 min,Romance,6.2,,,137
11627,RiffTrax Live: Godzilla,Bill Corbett,(2014),136 min,Comedy,7.8,,,137
11628,O Trapalhão na Ilha do Tesouro,J.B. Tanko,(1975),96 min,"Adventure, Comedy, Family",5.3,,,137
11629,Bo chi oi nei,Patrick Kong,(2009),96 min,Romance,4.9,,,137
11630,Metronotte,Francesco Calogero,(2000),105 min,"Crime, Drama, Thriller",6.0,,,137
11631,Kochaj i rób co chcesz,Robert Glinski,(1998),94 min,"Comedy, Music, Romance",5.2,,,137
11632,Epangelma: Gynaika,Omiros Efstratiadis,(1986),87 min,"Comedy, Drama",5.2,,,137
11633,Vivir y otras ficciones,Jo Sol,(2016),81 min,"Comedy, Drama",6.4,,,137
11634,Tepe'nin Usaklari,Ismet Eraydin,(2013),98 min,"Comedy, Drama",4.8,,,137
11635,Such mich nicht,Tilman Zens,(2004),80 min,Thriller,6.0,Not Rated,,137
11636,Shturetz v uhoto,Gueorgui Stoyanov,(1976),95 min,Comedy,7.8,,,137
11637,Punahilkka,Timo Bergholm,(1968),79 min,Drama,6.0,,,137
11638,Suicídio Encomendado,Artur Serra Araújo,(2007),90 min,Comedy,6.5,,,137
11639,Ne si otivay!,Lyudmil Kirkov,(1976),95 min,Drama,7.9,,,137
11640,Rock Dog 3: Battle the Beat,Anthony Bell,(2022),90 min,"Animation, Adventure, Comedy",5.1,TV-Y,,136
11641,12 Desperate Hours,Gina Gershon,(2023),88 min,Thriller,4.9,TV-14,,136
11642,The Reconciler,Shawn Justice,(2015),86 min,Thriller,2.2,Not Rated,,136
11643,It is Not the Pornographer That is Perverse...,Bruce La Bruce,(2018),69 min,"Comedy, Drama, Romance",4.8,,,136
11644,Hanau (Deutschland im Winter - Part 1),Uwe Boll,(2022),78 min,Drama,2.4,,,136
11645,Siri Parakum,Somaratne Dissanayake,(2013),,History,7.1,,,136
11646,Revirginized,Darryl Yap,(2021),97 min,Comedy,5.5,,,136
11647,Endless Loop,He Wen,(2018),97 min,"Crime, Mystery",5.4,,,136
11648,Parade,Titas Laucius,(2022),90 min,"Comedy, Drama",7.7,,,136
11649,A Stitch in Time,Sasha Hadden,(I) (2022),98 min,Drama,7.5,,,136
11650,The Dark End of the Street,Jan Egleson,(1981),89 min,Drama,4.7,,,136
11651,La casa de las palomas,Claudio Guerín,(1972),90 min,Drama,5.3,,,136
11652,The Yum Yum Girls,Barry Rosen,(1976),89 min,"Comedy, Drama",4.2,R,,136
11653,Mere Sajana Saath Nibhana,Rajesh Vakil,(1992),141 min,"Drama, Musical",4.4,,,136
11654,The Trees Have Eyes,Jordan Pacheco,(2020),75 min,Horror,3.3,,,136
11655,Lurid Tales: The Castle Queen,David DeCoteau,(1998),76 min,"Drama, Fantasy, Sci-Fi",4.2,R,,136
11656,Confessions,Mark Bessenger,(IV) (2016),88 min,"Comedy, Drama, Horror",4.5,Unrated,,136
11657,Nowhere to Run,Carl Franklin,(1989),86 min,"Drama, Thriller",4.8,R,,136
11658,Without Mercy,Robert Chappell,(1995),90 min,Action,4.5,R,,136
11659,Pride and Prejudice: A New Musical,Robert Kelley,(2020),128 min,Musical,6.9,,,136
11660,Swamp Girl,Donald A. Davis,(1971),78 min,Drama,5.3,GP,,136
11661,Ek Haseena Thi Ek Deewana Tha,Suneel Darshan,(2017),105 min,Drama,2.4,,,136
11662,Space Ninjas,Scott McQuaid,(2019),91 min,Comedy,3.8,Not Rated,,136
11663,Ikaw at ako at ang ending,Irene Villamor,(2021),89 min,Drama,5.8,,,136
11664,Dolce... calda Lisa,Adriano Tagliavia,(1980),84 min,Drama,4.7,,,136
11665,Anandham Vilayadum Veedu,Nandha Periasamy,(2021),147 min,Drama,5.0,,,136
11666,Hunters,Justin Lee,(III) (2021),95 min,Action,3.2,Unrated,,136
11667,"Balance, Not Symmetry",Jamie Adams,(2019),87 min,Drama,4.1,,,136
11668,Restoration,Jeremiah McLamb,(II) (2016),93 min,"Drama, Family",5.9,Not Rated,,136
11669,Billoo Baadshah,Sisir Misra,(1989),148 min,"Action, Crime, Drama",4.7,,,136
11670,Dear Best Friend,DeShon Hardy,(2021),99 min,"Drama, Thriller",6.0,TV-14,,136
11671,Impossible,Zhou Sun,(2015),94 min,"Comedy, Drama, Sci-Fi",4.4,,,136
11672,Peppa Pig: Festival of Fun,,(2019),68 min,"Animation, Family",4.6,TV-MA,,136
11673,Primary Motive,Daniel Adams,(1992),91 min,Thriller,5.3,R,,136
11674,Kilroy,Chris Bollinger,(2021),86 min,"Biography, Drama, History",4.0,,,136
11675,The Big Day,Peter Graham Scott,(1960),55 min,Drama,7.1,,,136
11676,Terminal Entry,John Kincade,(1987),98 min,"Action, Thriller",4.4,R,,136
11677,The Invisible Chronicles,David DeCoteau,(2009),86 min,Thriller,3.2,R,,136
11678,Cactus Flower,Hala Elkoussy,(2017),104 min,"Adventure, Drama, Fantasy",6.1,TV-14,,136
11679,Dil Hai Betaab,K.C. Bokadia,(1993),157 min,"Action, Drama, Romance",3.9,,,136
11680,Chasing Dream,Johnnie To,(2019),118 min,"Comedy, Drama, Romance",5.9,,,136
11681,High Finance Woman,Joe D'Amato,(1990),100 min,"Drama, Romance",4.0,,,136
11682,Saturday Night Out,Robert Hartford-Davis,(1964),100 min,"Comedy, Music, Romance",6.3,Not Rated,,136
11683,Nonames,Kathy Lindboe,(2010),108 min,Drama,6.3,Not Rated,,136
11684,Marte Dam Tak,Mehul Kumar,(1987),155 min,"Action, Drama",4.9,Not Rated,,136
11685,Parnikovyy effekt,Valeri Akhadov,(2005),93 min,Drama,6.5,,,136
11686,Christmas Lucky Charm,Amy Force,(2022),,Romance,5.3,,,136
11687,The Burying Party,Richard Weston,(2018),60 min,War,6.6,,,136
11688,Night Shade,Fred Olen Ray,(1996),96 min,Horror,3.8,R,,136
11689,To Each Her Own,Heather Tobin,(2008),102 min,"Drama, Romance",6.2,,,136
11690,Dangerous to Know,Robert Florey,(1938),70 min,Drama,6.5,Approved,,136
11691,Carroña,Eric Fleitas,(2019),75 min,"Action, Crime, Horror",5.2,,,136
11692,Crazy Days,Nikola Babic,(1977),102 min,Drama,7.1,,,136
11693,2025,Steven J. Jobes,(2015),,Drama,1.8,,,136
11694,Lovers,Catherine Corsini,(1994),88 min,"Drama, Romance",6.4,,,136
11695,Roses à crédit,Amos Gitai,(2010),113 min,Drama,5.0,,,136
11696,Where Is Parsifal?,Henri Helman,(1984),82 min,Comedy,4.8,PG,,136
11697,Hard Choices,Rick King,(1984),90 min,"Crime, Drama",6.2,Not Rated,,136
11698,Liefling,Brian Webber,(2010),114 min,Musical,5.4,,,136
11699,Mr. X in Bombay,Shantilal Soni,(1964),126 min,"Romance, Sci-Fi, Thriller",6.3,Not Rated,,136
11700,Erotica,Russ Meyer,(1961),68 min,Comedy,4.6,,,136
11701,Rasuk,Ubay Fox,(2018),90 min,"Drama, Horror, Mystery",4.0,,,136
11702,Evolution of KL Drift,Syamsul Yusof,(2008),101 min,"Action, Crime, Drama",5.2,,,136
11703,Censor,Dev Anand,(2001),165 min,Drama,3.1,,,136
11704,The Second Greatest Sex,George Marshall,(1955),87 min,"Comedy, Musical, Western",5.2,Approved,,136
11705,Hollywould,Joshua Coates,(2019),90 min,"Crime, Mystery, Thriller",3.8,,,136
11706,Forbidden Sun,Zelda Barron,(1988),88 min,"Drama, Mystery, Thriller",4.2,R,,136
11707,Valentines Date,Bryan G. Thompson,(2021),96 min,Comedy,4.6,,,136
11708,Loco,Justin Galindo,(2020),,"Drama, Thriller",4.5,,,136
11709,KFC,Le Binh Giang,(2012),69 min,Horror,4.4,,,136
11710,Limo,Guy Goossens,(2009),95 min,"Adventure, Family",4.2,,,136
11711,Mukoku,Kazuyoshi Kumakiri,(2017),125 min,"Action, Adventure, Drama",5.5,,,136
11712,Crd,Kranti Kanadé,(2016),108 min,"Drama, Romance",6.2,Not Rated,,136
11713,Rush: Cinema Strangiato 2019,Dale Heslip,(2019),120 min,Music,8.8,,$0.96M,136
11714,Podelniki,Evgeniy Grigorev,(2021),109 min,"Drama, Thriller",6.0,,,136
11715,Holy Hell,Ryan LaPlante,(2015),89 min,"Action, Comedy, Horror",4.1,Not Rated,$0.03M,136
11716,Red Spirit Lake,Charles Pinion,(1993),69 min,Horror,4.9,,,136
11717,Pointed Heels,A. Edward Sutherland,(1929),61 min,"Comedy, Musical",5.6,Passed,,136
11718,Peach Plum Pear,Alana Morshead,(2011),109 min,Drama,7.4,,,136
11719,Peaches and Cream,Gur Bentwich,(2019),94 min,"Comedy, Drama, Fantasy",7.1,,,136
11720,Mother-in-Law,Minh Thang Ly,(2017),90 min,Drama,5.7,,,136
11721,Slugterra: Into the Shadows,Michael Dowding,(2016),,"Animation, Action, Adventure",6.5,,,136
11722,Sam & Me,Deepa Mehta,(1991),94 min,Drama,6.1,R,,136
11723,Alien Hunger,Edward Conna,(2017),90 min,"Comedy, Horror, Sci-Fi",3.5,,,136
11724,Mexican Sunrise,Rowdy Stovall,(2007),85 min,"Action, Drama, Thriller",4.4,R,,136
11725,Lyftet,Anders Lönnbro,(1978),117 min,Drama,6.4,,,136
11726,El Vigilante,Diego Ros,(2016),75 min,"Crime, Drama",6.7,R,,136
11727,Riverhead,Justin Oakey,(2016),89 min,"Crime, Drama",5.1,,,136
11728,Malli Modalaindi,T.G. Keerthi Kumar,(2022),125 min,Romance,4.7,,,136
11729,Flame and the Flesh,Richard Brooks,(1954),104 min,"Drama, Music, Mystery",5.6,Approved,$1.30M,136
11730,Dobaara,Bejoy Nambiar,(2018),66 min,"Drama, Romance",6.7,,,136
11731,Is That All There Is?,Lindsay Anderson,(1992),52 min,Comedy,7.1,,,136
11732,Sally and Saint Anne,Rudolph Maté,(1952),90 min,Comedy,6.3,Approved,,136
11733,The Lady Pays Off,Douglas Sirk,(1951),80 min,"Comedy, Drama, Romance",6.1,Approved,,136
11734,Half-Sister,Damjan Kozole,(2019),105 min,"Comedy, Drama",5.7,,,136
11735,Baby Cat,Pierre Unia,(1983),80 min,Comedy,3.4,R,,136
11736,Ciao Ciao,Song Chuan,(2017),83 min,"Comedy, Drama",6.0,,,136
11737,Bordello,Nikos Koundouros,(1985),130 min,"Drama, History",5.4,,,136
11738,Hard Drive,William D. MacGillivray,(I) (2014),90 min,"Drama, Romance",5.0,Not Rated,,136
11739,Top of the World,Lewis R. Foster,(1955),91 min,Adventure,5.9,Approved,,136
11740,The Lone Ranger Rides Again,John English,(1939),263 min,"Drama, Family, Western",6.9,Approved,,136
11741,This Is a Hijack,Barry Pollack,(1973),90 min,"Crime, Drama, Thriller",5.4,PG,,136
11742,O pseftis,Giannis Dalianidis,(1968),91 min,Comedy,5.4,,,136
11743,Aci Dünya,Ümit Efekan,(1986),83 min,Drama,6.0,,,136
11744,Candles at Nine,John Harlow,(1944),75 min,Mystery,5.6,,,136
11745,Guru Shishyaru,Bhargava,(1981),148 min,Comedy,8.4,Not Rated,,136
11746,Henry Hill,David Kantar,(1999),85 min,"Comedy, Drama, Music",5.1,Not Rated,,136
11747,Premika,Siwakorn Charupongsa,(I) (2017),90 min,"Comedy, Horror",5.5,,,136
11748,Women,Stanley Kwan,(1985),92 min,Drama,6.5,,,136
11749,Fingerprints Don't Lie,Sam Newfield,(1951),57 min,Drama,4.4,Passed,,136
11750,Shooting High,Alfred E. Green,(1940),65 min,"Drama, Music, Western",5.7,Passed,,136
11751,The Break,Lance Comfort,(1962),77 min,"Crime, Drama, Thriller",5.9,Not Rated,,136
11752,MBA Partners,Tae You Chang,(2016),101 min,"Comedy, Romance",4.7,,,136
11753,Absences répétées,Guy Gilles,(1972),78 min,Drama,6.6,,,136
11754,Power,K. Madesh,(II) (2014),153 min,Action,6.5,Unrated,,136
11755,Eye of the Eagle 2: Inside the Enemy,Carl Franklin,(1989),78 min,"Action, Adventure, Romance",4.9,R,,136
11756,Nobody,Rob Perez,(2009),88 min,Comedy,5.1,PG-13,$0.01M,136
11757,Love in Nepal,Rajat Mukherjee,(2004),143 min,"Drama, Mystery, Romance",3.7,Not Rated,,136
11758,Helter Skelter,Jesús Franco,(2000),60 min,Horror,3.0,,,136
11759,Falco,Besart Kallaku,(2019),98 min,Comedy,5.0,,,136
11760,Les déguns,Cyrille Droux,(2018),92 min,Comedy,2.3,,,136
11761,Seven Days Leave,Richard Wallace,(1930),80 min,"Adventure, Drama, Romance",6.6,Passed,,136
11762,Bloodlands,Steven Kastrissios,(2017),82 min,"Drama, Horror, Thriller",5.4,,,136
11763,The Bacchantes,Giorgio Ferroni,(1961),102 min,"Action, Drama, Fantasy",5.2,,,136
11764,The Common Touch,John Baxter,(1941),104 min,Drama,6.6,Not Rated,,136
11765,Silent Bloodnight,Stefan Peczelt,(2006),84 min,"Crime, Horror",2.7,Unrated,,136
11766,Ripper Man,Phil Sears,(1995),,"Action, Horror, Thriller",3.9,R,,136
11767,Stained,Joston Theney,(2019),102 min,"Horror, Thriller",3.6,TV-MA,,136
11768,Innocent Victim,Giles Foster,(1989),89 min,Drama,6.3,R,,136
11769,"Grow Up, Tony Phillips",Emily Hagins,(2013),91 min,"Comedy, Drama",6.6,Not Rated,,136
11770,Paid,Laurence Lamers,(2006),100 min,"Crime, Romance, Thriller",4.6,Not Rated,,136
11771,El magnifico extranjero,Justus Addiss,(1966),93 min,Western,7.6,,,136
11772,Sodak Sodak,Sang-hoon Choi,(2018),91 min,Horror,4.2,,,136
11773,Gripped: Climbing the Killer Pillar,Benjamin Galland,(2020),89 min,"Action, Adventure",5.2,Not Rated,,136
11774,The Fat Black Pussycat,Harold Lea,(1963),94 min,"Crime, Horror, Drama",4.6,,,136
11775,Plain Jane to the Rescue,John Woo,(1982),86 min,"Action, Comedy",6.1,,,136
11776,Keys to Freedom,Steve Feke,(1988),97 min,Drama,5.0,R,,136
11777,Portrait of a Thief,Mini Kerti,(2014),90 min,"Crime, Drama, History",6.3,,,136
11778,Kab? Kyoon? Aur Kahan?,Arjun Hingorani,(1970),136 min,"Action, Mystery, Romance",6.7,,,136
11779,Italian Fast Food,Lodovico Gasparini,(1986),89 min,Comedy,4.0,,,136
11780,Guarda in alto,Fulvio Risuleo,(2017),90 min,Adventure,6.2,,,136
11781,Brelan d'as,Henri Verneuil,(1952),118 min,"Crime, Drama, Mystery",5.8,,,136
11782,Hangman's Game,Miguel Urrutia,(2015),87 min,"Horror, Mystery, Thriller",2.9,TV-14,,136
11783,Desperate Cargo,William Beaudine,(1941),67 min,"Crime, Drama, Romance",5.3,Passed,,136
11784,The Book of Nightmares,Ryan Byrne,(2017),85 min,"Horror, Thriller",2.2,,,136
11785,One 2 One,Mania Akbari,(2011),79 min,Drama,6.7,,,136
11786,Cuckoo,Richard Bracewell,(2009),89 min,"Drama, Thriller",3.8,,,136
11787,Yaban,Nihat Durak,(1996),85 min,"Drama, War",7.4,,,136
11788,Raman Thediya Seethai,Jagan,(2008),145 min,Drama,7.1,,,136
11789,Ma révolution,Ramzi Ben Sliman,(2016),80 min,"Drama, Romance",5.4,,,136
11790,Aaye Din Bahar Ke,Raghunath Jhalani,(1966),170 min,"Musical, Romance",6.4,,,136
11791,Kaufman's Game,Helier Bissell-Thomas,(2017),89 min,"Crime, Thriller",3.9,Not Rated,,136
11792,Bialy potok,Michal Grzybowski,(2020),79 min,Comedy,6.1,,,136
11793,Get Outta Town,Charles Davis,(1960),62 min,"Crime, Drama",6.1,Not Rated,,136
11794,Hedgehog,Lindsey Copeland,(2017),114 min,Drama,5.3,,,136
11795,Maison Ikkoku - Apartment Fantasy,Shin'ichirô Sawai,(1986),97 min,"Comedy, Drama, Romance",6.8,,,136
11796,Lost Chapter of Snow: Passion,Shinji Sômai,(1985),100 min,Drama,6.7,,,136
11797,Forbidden,Mario Monicelli,(1955),90 min,Drama,5.8,,,136
11798,Nedeljni rucak,Milan Jelic,(1982),92 min,Drama,6.6,,,136
11799,GARAKOWA - Restore the World,Masashi Ishihama,(2015),67 min,"Animation, Drama, Sci-Fi",5.6,TV-PG,,136
11800,Nambugun,Jeong Ji-yeong,(1990),157 min,War,6.4,,,136
11801,Kuththu,A. Venkatesh,(2004),156 min,Action,5.1,,,136
11802,Mrs. Pym of Scotland Yard,Fred Ellis,(1940),65 min,"Crime, Mystery",5.3,,,136
11803,Jean-François and the Meaning of Life,Sergi Portabella,(2018),85 min,Comedy,6.2,,,136
11804,Lupu,Bogdan Mustata,(2013),77 min,Drama,4.9,,,136
11805,10 Brothers of Shaolin,Chung Ting,(1977),90 min,"Action, Adventure, Drama",5.3,Not Rated,,136
11806,Saraswathi Sabatham,A.P. Nagarajan,(1966),159 min,"Comedy, Drama, Fantasy",7.8,Not Rated,,136
11807,Bad Company,Tay Garnett,(1931),76 min,"Crime, Drama",6.3,Passed,,136
11808,The Return,Predrag Jaksic,(2017),,"Drama, Thriller",5.1,,,136
11809,Raging Rose,Julia Kowalski,(2015),80 min,Drama,5.8,,,136
11810,Wajood,Jawed Sheikh,(I) (2018),123 min,Thriller,3.1,,,136
11811,The Return of Rin Tin Tin,Max Nosseck,(1947),65 min,"Drama, Family",5.2,Approved,,136
11812,Prelude to Fame,Fergus McDonell,(1950),78 min,Drama,6.3,Not Rated,,136
11813,The Wake of Light,Renji Philip,(2019),85 min,"Drama, Romance",5.7,,,136
11814,State of Wonder,Martin Donovan,(1984),113 min,Drama,8.8,,,136
11815,In the Name of the Girl,Tania Hermida,(2011),108 min,"Comedy, Drama",7.0,,,136
11816,Killers Are Challenged,Antonio Margheriti,(1966),84 min,Action,5.3,,,136
11817,To mistenkelige personer,Tancred Ibsen,(1950),92 min,"Crime, Drama",6.4,,,136
11818,Distant Thunder,Kichitarô Negishi,(1981),135 min,Drama,7.0,,,136
11819,Bokura no nanoka-kan sensô,Hiroshi Sugawara,(1988),94 min,"Action, Comedy, Drama",6.4,,,136
11820,Flesh for the Inferno,Richard Griffin,(2015),85 min,Horror,4.2,Not Rated,,136
